HK17; test nb;Test Descripcion;degree;oa;ob;m;n;r;s;f;h;rA;rB;k1;k2
HK17;37;64-bits KEM - HK17-O-64 - 8-bits version;16;(112, 112, 82, 202, 36, 148, 68, 72);(116, 173, 15, 7, 24, 127, 24, 5);21;181;193;102;[(46, 15), (84, 14), (250, 13), (233, 12), (154, 11), (165, 10), (95, 9), (95, 8), (198, 7), (52, 6), (144, 5), (78, 4), (54, 3), (184, 2), (42, 1), (2, 0)];[(111, 15), (187, 14), (124, 13), (157, 12), (155, 11), (65, 10), (99, 9), (243, 8), (148, 7), (75, 6), (7, 5), (76, 4), (2, 3), (19, 2), (37, 1), (153, 0)];(189, 64, 57, 185, 99, 177, 22, 169);(20, 235, 10, 202, 124, 88, 137, 178);(241, 220, 117, 156, 87, 243, 150, 145);(241, 220, 117, 156, 87, 243, 150, 145)
HK17;38;64-bits KEM - HK17-O-64 - 8-bits version;16;(160, 17, 226, 157, 119, 104, 80, 222);(50, 9, 16, 46, 236, 76, 73, 11);175;49;82;104;[(60, 15), (243, 14), (186, 13), (73, 12), (115, 11), (62, 10), (78, 9), (123, 8), (107, 7), (112, 6), (133, 5), (121, 4), (161, 3), (141, 2), (21, 1), (72, 0)];[(57, 15), (183, 14), (134, 13), (18, 12), (209, 11), (16, 10), (174, 9), (80, 8), (1, 7), (224, 6), (148, 5), (81, 4), (127, 3), (49, 2), (139, 1), (248, 0)];(26, 81, 208, 234, 108, 179, 119, 205);(156, 130, 102, 12, 15, 46, 6, 137);(41, 83, 243, 89, 62, 156, 92, 52);(41, 83, 243, 89, 62, 156, 92, 52)
HK17;39;64-bits KEM - HK17-O-64 - 8-bits version;16;(65, 188, 214, 59, 249, 156, 185, 99);(72, 247, 95, 214, 157, 234, 10, 194);165;255;52;137;[(18, 15), (150, 14), (90, 13), (147, 12), (47, 11), (153, 10), (13, 9), (69, 8), (180, 7), (209, 6), (221, 5), (107, 4), (46, 3), (164, 2), (55, 1), (81, 0)];[(35, 15), (2, 14), (73, 13), (62, 12), (47, 11), (137, 10), (76, 9), (243, 8), (111, 7), (142, 6), (230, 5), (139, 4), (90, 3), (42, 2), (173, 1), (53, 0)];(104, 50, 193, 86, 171, 87, 126, 85);(183, 179, 65, 131, 126, 30, 174, 102);(97, 147, 66, 245, 182, 127, 84, 231);(97, 147, 66, 245, 182, 127, 84, 231)
HK17;40;64-bits KEM - HK17-O-64 - 8-bits version;16;(21, 221, 144, 67, 184, 30, 202, 151);(200, 134, 88, 144, 152, 159, 24, 8);135;24;202;168;[(222, 15), (244, 14), (20, 13), (104, 12), (137, 11), (245, 10), (17, 9), (145, 8), (18, 7), (205, 6), (158, 5), (236, 4), (228, 3), (140, 2), (27, 1), (186, 0)];[(59, 15), (222, 14), (146, 13), (115, 12), (149, 11), (51, 10), (138, 9), (38, 8), (46, 7), (173, 6), (202, 5), (108, 4), (186, 3), (121, 2), (77, 1), (10, 0)];(37, 168, 17, 155, 171, 150, 173, 6);(223, 188, 128, 215, 99, 228, 239, 68);(238, 33, 5, 89, 117, 101, 63, 68);(238, 33, 5, 89, 117, 101, 63, 68)
HK17;41;64-bits KEM - HK17-O-64 - 8-bits version;16;(169, 140, 74, 158, 106, 212, 241, 8);(71, 80, 209, 14, 101, 218, 208, 146);99;153;70;209;[(199, 15), (172, 14), (43, 13), (161, 12), (162, 11), (101, 10), (94, 9), (250, 8), (168, 7), (78, 6), (122, 5), (179, 4), (89, 3), (93, 2), (73, 1), (195, 0)];[(165, 15), (60, 14), (39, 13), (198, 12), (124, 11), (37, 10), (34, 9), (206, 8), (55, 7), (2, 6), (10, 5), (76, 4), (166, 3), (216, 2), (82, 1), (201, 0)];(93, 75, 226, 47, 32, 58, 142, 225);(158, 101, 144, 31, 201, 215, 69, 248);(161, 181, 187, 21, 250, 158, 129, 248);(161, 181, 187, 21, 250, 158, 129, 248)
HK17;42;64-bits KEM - HK17-O-64 - 8-bits version;16;(43, 11, 198, 205, 189, 62, 142, 201);(171, 250, 26, 45, 204, 29, 17, 86);26;102;151;43;[(201, 15), (199, 14), (38, 13), (158, 12), (133, 11), (223, 10), (188, 9), (217, 8), (116, 7), (222, 6), (41, 5), (234, 4), (100, 3), (153, 2), (77, 1), (15, 0)];[(82, 15), (240, 14), (46, 13), (194, 12), (18, 11), (48, 10), (147, 9), (137, 8), (35, 7), (95, 6), (40, 5), (11, 4), (47, 3), (41, 2), (171, 1), (219, 0)];(223, 249, 67, 115, 192, 176, 242, 246);(8, 96, 7, 140, 220, 26, 12, 36);(30, 193, 186, 241, 74, 188, 250, 31);(30, 193, 186, 241, 74, 188, 250, 31)
HK17;43;64-bits KEM - HK17-O-64 - 8-bits version;16;(5, 157, 241, 208, 163, 223, 243, 244);(7, 192, 135, 14, 61, 69, 159, 238);30;229;212;32;[(4, 15), (169, 14), (219, 13), (230, 12), (138, 11), (68, 10), (229, 9), (156, 8), (235, 7), (174, 6), (12, 5), (8, 4), (53, 3), (178, 2), (120, 1), (244, 0)];[(105, 15), (34, 14), (222, 13), (144, 12), (190, 11), (77, 10), (85, 9), (124, 8), (83, 7), (193, 6), (238, 5), (89, 4), (113, 3), (189, 2), (67, 1), (165, 0)];(165, 182, 137, 33, 178, 247, 190, 59);(159, 208, 28, 182, 191, 218, 167, 195);(173, 145, 108, 240, 60, 77, 112, 27);(173, 145, 108, 240, 60, 77, 112, 27)
HK17;44;64-bits KEM - HK17-O-64 - 8-bits version;16;(121, 206, 35, 186, 212, 181, 236, 55);(45, 217, 162, 226, 32, 87, 94, 84);252;95;185;6;[(72, 15), (11, 14), (232, 13), (10, 12), (212, 11), (221, 10), (250, 9), (217, 8), (42, 7), (122, 6), (157, 5), (221, 4), (207, 3), (238, 2), (133, 1), (191, 0)];[(213, 15), (52, 14), (31, 13), (89, 12), (198, 11), (73, 10), (47, 9), (113, 8), (38, 7), (187, 6), (10, 5), (40, 4), (145, 3), (114, 2), (71, 1), (58, 0)];(39, 229, 232, 201, 8, 101, 146, 197);(133, 129, 32, 178, 79, 145, 241, 114);(88, 9, 103, 247, 56, 206, 97, 99);(88, 9, 103, 247, 56, 206, 97, 99)
HK17;45;64-bits KEM - HK17-O-64 - 8-bits version;16;(182, 27, 141, 80, 30, 92, 103, 71);(2, 22, 63, 174, 140, 56, 183, 150);242;30;193;129;[(46, 15), (180, 14), (119, 13), (82, 12), (69, 11), (166, 10), (97, 9), (137, 8), (1, 7), (88, 6), (81, 5), (98, 4), (162, 3), (228, 2), (46, 1), (26, 0)];[(176, 15), (127, 14), (136, 13), (150, 12), (112, 11), (109, 10), (223, 9), (41, 8), (16, 7), (133, 6), (88, 5), (167, 4), (205, 3), (232, 2), (4, 1), (72, 0)];(223, 224, 145, 36, 120, 80, 8, 100);(178, 94, 108, 6, 87, 206, 185, 98);(246, 125, 43, 162, 223, 92, 112, 135);(246, 125, 43, 162, 223, 92, 112, 135)
HK17;46;64-bits KEM - HK17-O-64 - 8-bits version;16;(187, 211, 168, 22, 180, 150, 27, 187);(131, 30, 100, 177, 30, 193, 136, 218);27;107;132;100;[(55, 15), (187, 14), (161, 13), (205, 12), (219, 11), (57, 10), (45, 9), (75, 8), (20, 7), (57, 6), (122, 5), (105, 4), (126, 3), (166, 2), (66, 1), (145, 0)];[(32, 15), (172, 14), (228, 13), (2, 12), (200, 11), (241, 10), (61, 9), (40, 8), (204, 7), (186, 6), (174, 5), (31, 4), (115, 3), (59, 2), (30, 1), (166, 0)];(169, 54, 1, 167, 222, 176, 115, 52);(168, 142, 189, 15, 96, 192, 207, 211);(247, 213, 102, 92, 87, 154, 185, 159);(247, 213, 102, 92, 87, 154, 185, 159)
HK17;47;64-bits KEM - HK17-O-64 - 8-bits version;16;(221, 121, 185, 0, 229, 30, 135, 46);(107, 66, 34, 157, 240, 119, 184, 81);175;43;4;233;[(97, 15), (40, 14), (64, 13), (236, 12), (108, 11), (232, 10), (44, 9), (87, 8), (142, 7), (149, 6), (22, 5), (120, 4), (169, 3), (31, 2), (164, 1), (60, 0)];[(236, 15), (106, 14), (232, 13), (236, 12), (118, 11), (91, 10), (226, 9), (26, 8), (40, 7), (149, 6), (59, 5), (199, 4), (126, 3), (76, 2), (39, 1), (223, 0)];(35, 21, 76, 64, 174, 39, 76, 37);(246, 157, 70, 102, 161, 224, 92, 88);(240, 34, 45, 66, 0, 159, 105, 164);(240, 34, 45, 66, 0, 159, 105, 164)
HK17;48;64-bits KEM - HK17-O-64 - 8-bits version;16;(37, 90, 158, 140, 189, 64, 7, 11);(106, 201, 154, 56, 200, 232, 142, 154);242;119;53;41;[(36, 15), (133, 14), (26, 13), (113, 12), (246, 11), (27, 10), (177, 9), (116, 8), (53, 7), (131, 6), (130, 5), (18, 4), (98, 3), (92, 2), (108, 1), (203, 0)];[(44, 15), (70, 14), (72, 13), (20, 12), (37, 11), (226, 10), (197, 9), (107, 8), (61, 7), (186, 6), (52, 5), (29, 4), (133, 3), (8, 2), (185, 1), (55, 0)];(80, 77, 77, 75, 128, 39, 79, 210);(152, 182, 160, 233, 147, 213, 144, 82);(149, 232, 45, 202, 195, 142, 5, 235);(149, 232, 45, 202, 195, 142, 5, 235)
HK17;49;64-bits KEM - HK17-O-64 - 8-bits version;16;(56, 118, 58, 215, 41, 234, 78, 137);(185, 105, 186, 39, 73, 131, 81, 154);75;182;152;41;[(113, 15), (128, 14), (142, 13), (205, 12), (159, 11), (235, 10), (32, 9), (148, 8), (190, 7), (136, 6), (17, 5), (238, 4), (223, 3), (99, 2), (65, 1), (85, 0)];[(79, 15), (56, 14), (83, 13), (242, 12), (78, 11), (24, 10), (34, 9), (191, 8), (138, 7), (245, 6), (137, 5), (91, 4), (150, 3), (149, 2), (96, 1), (200, 0)];(130, 98, 218, 205, 192, 208, 96, 138);(214, 74, 158, 218, 10, 154, 215, 155);(188, 221, 77, 10, 195, 43, 194, 232);(188, 221, 77, 10, 195, 43, 194, 232)
HK17;50;64-bits KEM - HK17-O-64 - 8-bits version;16;(156, 44, 117, 104, 93, 210, 155, 206);(2, 34, 176, 21, 201, 98, 152, 189);126;245;243;214;[(156, 15), (109, 14), (63, 13), (18, 12), (53, 11), (26, 10), (194, 9), (202, 8), (42, 7), (175, 6), (112, 5), (183, 4), (96, 3), (117, 2), (117, 1), (143, 0)];[(218, 15), (31, 14), (78, 13), (40, 12), (115, 11), (33, 10), (135, 9), (109, 8), (204, 7), (164, 6), (172, 5), (164, 4), (228, 3), (117, 2), (128, 1), (153, 0)];(226, 37, 248, 232, 102, 29, 159, 122);(22, 58, 55, 107, 159, 165, 174, 142);(51, 233, 245, 58, 227, 23, 10, 45);(51, 233, 245, 58, 227, 23, 10, 45)
HK17;51;64-bits KEM - HK17-O-64 - 8-bits version;16;(148, 45, 218, 192, 171, 60, 157, 172);(84, 78, 203, 58, 4, 90, 141, 226);222;77;131;74;[(169, 15), (150, 14), (249, 13), (95, 12), (169, 11), (204, 10), (145, 9), (119, 8), (51, 7), (78, 6), (74, 5), (213, 4), (248, 3), (46, 2), (29, 1), (198, 0)];[(201, 15), (151, 14), (160, 13), (68, 12), (192, 11), (13, 10), (62, 9), (219, 8), (83, 7), (175, 6), (98, 5), (153, 4), (192, 3), (1, 2), (143, 1), (111, 0)];(190, 101, 100, 69, 28, 111, 4, 184);(177, 241, 240, 239, 182, 97, 169, 53);(119, 181, 163, 195, 208, 28, 9, 225);(119, 181, 163, 195, 208, 28, 9, 225)
HK17;52;64-bits KEM - HK17-O-64 - 8-bits version;16;(97, 51, 44, 126, 238, 28, 56, 155);(215, 152, 213, 107, 45, 75, 30, 191);187;189;127;123;[(87, 15), (170, 14), (60, 13), (227, 12), (177, 11), (245, 10), (17, 9), (146, 8), (179, 7), (27, 6), (136, 5), (28, 4), (30, 3), (195, 2), (11, 1), (31, 0)];[(82, 15), (24, 14), (111, 13), (90, 12), (247, 11), (207, 10), (112, 9), (23, 8), (127, 7), (147, 6), (183, 5), (47, 4), (32, 3), (14, 2), (96, 1), (158, 0)];(186, 50, 173, 212, 154, 79, 52, 210);(127, 33, 1, 134, 241, 142, 44, 241);(66, 239, 37, 13, 25, 84, 106, 25);(66, 239, 37, 13, 25, 84, 106, 25)
HK17;53;64-bits KEM - HK17-O-64 - 8-bits version;16;(142, 22, 113, 246, 161, 29, 9, 116);(161, 108, 72, 211, 20, 205, 23, 250);171;107;112;100;[(45, 15), (58, 14), (153, 13), (46, 12), (123, 11), (111, 10), (163, 9), (26, 8), (175, 7), (22, 6), (217, 5), (49, 4), (156, 3), (65, 2), (82, 1), (115, 0)];[(192, 15), (148, 14), (94, 13), (134, 12), (156, 11), (63, 10), (197, 9), (43, 8), (153, 7), (237, 6), (7, 5), (108, 4), (28, 3), (36, 2), (90, 1), (101, 0)];(243, 132, 10, 82, 241, 11, 13, 72);(108, 38, 39, 45, 234, 170, 31, 236);(113, 124, 58, 106, 45, 39, 46, 155);(113, 124, 58, 106, 45, 39, 46, 155)
HK17;54;64-bits KEM - HK17-O-64 - 8-bits version;16;(69, 109, 68, 220, 246, 211, 213, 171);(212, 171, 209, 95, 21, 249, 165, 131);73;168;143;45;[(28, 15), (116, 14), (128, 13), (217, 12), (11, 11), (8, 10), (7, 9), (6, 8), (76, 7), (52, 6), (44, 5), (166, 4), (7, 3), (223, 2), (208, 1), (135, 0)];[(94, 15), (9, 14), (28, 13), (144, 12), (83, 11), (127, 10), (212, 9), (4, 8), (110, 7), (44, 6), (108, 5), (232, 4), (101, 3), (84, 2), (136, 1), (138, 0)];(144, 121, 57, 9, 72, 49, 133, 214);(226, 3, 249, 49, 238, 61, 135, 193);(236, 229, 37, 161, 12, 116, 240, 159);(236, 229, 37, 161, 12, 116, 240, 159)
HK17;55;64-bits KEM - HK17-O-64 - 8-bits version;16;(201, 62, 54, 199, 168, 6, 217, 164);(91, 51, 75, 142, 151, 42, 242, 106);177;150;110;156;[(155, 15), (191, 14), (102, 13), (218, 12), (171, 11), (21, 10), (127, 9), (79, 8), (120, 7), (158, 6), (53, 5), (241, 4), (245, 3), (182, 2), (199, 1), (48, 0)];[(148, 15), (162, 14), (165, 13), (178, 12), (12, 11), (151, 10), (129, 9), (244, 8), (111, 7), (136, 6), (143, 5), (40, 4), (119, 3), (222, 2), (163, 1), (180, 0)];(170, 46, 181, 83, 53, 133, 238, 94);(3, 130, 29, 54, 196, 240, 123, 151);(129, 200, 11, 222, 28, 163, 182, 61);(129, 200, 11, 222, 28, 163, 182, 61)
HK17;56;64-bits KEM - HK17-O-64 - 8-bits version;16;(58, 19, 62, 146, 173, 133, 51, 53);(133, 37, 31, 182, 142, 7, 101, 143);80;156;189;140;[(167, 15), (229, 14), (4, 13), (151, 12), (93, 11), (48, 10), (79, 9), (55, 8), (186, 7), (106, 6), (183, 5), (55, 4), (206, 3), (245, 2), (60, 1), (80, 0)];[(10, 15), (16, 14), (68, 13), (238, 12), (97, 11), (229, 10), (90, 9), (213, 8), (179, 7), (200, 6), (72, 5), (158, 4), (118, 3), (154, 2), (7, 1), (93, 0)];(151, 168, 214, 239, 40, 31, 150, 203);(52, 73, 95, 184, 66, 218, 119, 124);(213, 1, 22, 61, 205, 249, 19, 0);(213, 1, 22, 61, 205, 249, 19, 0)
HK17;57;64-bits KEM - HK17-O-64 - 8-bits version;16;(48, 198, 132, 120, 10, 136, 190, 4);(25, 222, 110, 168, 84, 5, 219, 9);253;221;110;151;[(62, 15), (96, 14), (90, 13), (30, 12), (240, 11), (217, 10), (174, 9), (127, 8), (21, 7), (133, 6), (185, 5), (249, 4), (158, 3), (7, 2), (79, 1), (7, 0)];[(168, 15), (73, 14), (94, 13), (26, 12), (115, 11), (176, 10), (74, 9), (203, 8), (77, 7), (206, 6), (133, 5), (83, 4), (215, 3), (126, 2), (187, 1), (33, 0)];(77, 66, 72, 110, 226, 125, 133, 174);(60, 25, 98, 182, 192, 208, 67, 48);(222, 150, 116, 100, 45, 154, 47, 10);(222, 150, 116, 100, 45, 154, 47, 10)
HK17;58;64-bits KEM - HK17-O-64 - 8-bits version;16;(158, 163, 246, 156, 18, 79, 215, 39);(145, 117, 199, 8, 193, 180, 133, 9);62;228;30;216;[(109, 15), (212, 14), (213, 13), (164, 12), (221, 11), (139, 10), (187, 9), (98, 8), (9, 7), (245, 6), (146, 5), (197, 4), (209, 3), (177, 2), (203, 1), (68, 0)];[(25, 15), (120, 14), (51, 13), (56, 12), (62, 11), (233, 10), (182, 9), (234, 8), (56, 7), (168, 6), (212, 5), (249, 4), (147, 3), (39, 2), (35, 1), (179, 0)];(178, 193, 148, 128, 153, 236, 3, 182);(124, 122, 135, 214, 92, 138, 30, 223);(187, 102, 157, 63, 99, 53, 159, 51);(187, 102, 157, 63, 99, 53, 159, 51)
HK17;59;64-bits KEM - HK17-O-64 - 8-bits version;16;(69, 91, 77, 1, 9, 20, 244, 26);(245, 148, 167, 235, 221, 204, 180, 186);104;65;88;141;[(7, 15), (69, 14), (183, 13), (92, 12), (78, 11), (105, 10), (79, 9), (201, 8), (214, 7), (191, 6), (73, 5), (115, 4), (231, 3), (225, 2), (84, 1), (168, 0)];[(47, 15), (186, 14), (30, 13), (113, 12), (71, 11), (238, 10), (28, 9), (174, 8), (39, 7), (52, 6), (243, 5), (72, 4), (28, 3), (214, 2), (16, 1), (212, 0)];(58, 132, 9, 84, 107, 105, 29, 68);(46, 201, 205, 58, 50, 241, 119, 165);(70, 164, 132, 176, 91, 163, 224, 99);(70, 164, 132, 176, 91, 163, 224, 99)
HK17;60;64-bits KEM - HK17-O-64 - 8-bits version;16;(25, 28, 216, 179, 130, 117, 215, 157);(107, 72, 37, 220, 36, 118, 235, 146);2;133;141;21;[(156, 15), (16, 14), (153, 13), (43, 12), (154, 11), (232, 10), (214, 9), (98, 8), (22, 7), (213, 6), (207, 5), (240, 4), (78, 3), (208, 2), (176, 1), (8, 0)];[(109, 15), (184, 14), (100, 13), (225, 12), (61, 11), (249, 10), (94, 9), (92, 8), (233, 7), (96, 6), (235, 5), (242, 4), (18, 3), (3, 2), (232, 1), (41, 0)];(25, 171, 121, 212, 98, 8, 111, 211);(207, 43, 192, 101, 42, 106, 196, 134);(61, 174, 133, 173, 205, 70, 164, 167);(61, 174, 133, 173, 205, 70, 164, 167)
HK17;61;64-bits KEM - HK17-O-64 - 8-bits version;16;(44, 28, 195, 50, 82, 175, 142, 56);(78, 148, 65, 194, 191, 239, 69, 96);158;119;163;170;[(96, 15), (216, 14), (144, 13), (70, 12), (5, 11), (37, 10), (38, 9), (90, 8), (175, 7), (224, 6), (54, 5), (36, 4), (212, 3), (183, 2), (247, 1), (57, 0)];[(16, 15), (37, 14), (41, 13), (101, 12), (27, 11), (94, 10), (36, 9), (46, 8), (228, 7), (3, 6), (149, 5), (129, 4), (236, 3), (88, 2), (37, 1), (11, 0)];(72, 155, 73, 100, 44, 187, 227, 232);(33, 214, 85, 13, 161, 10, 109, 70);(49, 228, 51, 16, 85, 188, 26, 24);(49, 228, 51, 16, 85, 188, 26, 24)
HK17;62;64-bits KEM - HK17-O-64 - 8-bits version;16;(126, 205, 221, 136, 75, 214, 25, 211);(157, 188, 172, 25, 143, 247, 237, 51);230;34;244;234;[(119, 15), (178, 14), (234, 13), (56, 12), (105, 11), (156, 10), (31, 9), (99, 8), (86, 7), (208, 6), (88, 5), (245, 4), (239, 3), (150, 2), (94, 1), (249, 0)];[(55, 15), (120, 14), (227, 13), (176, 12), (249, 11), (249, 10), (61, 9), (11, 8), (58, 7), (2, 6), (102, 5), (31, 4), (132, 3), (155, 2), (203, 1), (165, 0)];(114, 133, 47, 0, 2, 215, 11, 140);(47, 160, 250, 22, 30, 163, 50, 121);(172, 99, 46, 0, 228, 56, 124, 224);(172, 99, 46, 0, 228, 56, 124, 224)
HK17;63;64-bits KEM - HK17-O-64 - 8-bits version;16;(30, 147, 174, 112, 8, 124, 84, 205);(58, 55, 167, 202, 206, 239, 195, 109);212;86;11;231;[(38, 15), (187, 14), (13, 13), (231, 12), (76, 11), (70, 10), (62, 9), (243, 8), (41, 7), (79, 6), (91, 5), (149, 4), (88, 3), (104, 2), (135, 1), (206, 0)];[(99, 15), (162, 14), (41, 13), (133, 12), (71, 11), (222, 10), (227, 9), (216, 8), (28, 7), (50, 6), (243, 5), (246, 4), (132, 3), (140, 2), (54, 1), (38, 0)];(198, 186, 203, 86, 102, 205, 150, 22);(55, 121, 17, 159, 5, 49, 63, 149);(8, 88, 220, 41, 235, 36, 140, 100);(8, 88, 220, 41, 235, 36, 140, 100)
HK17;64;64-bits KEM - HK17-O-64 - 8-bits version;16;(222, 3, 31, 121, 66, 98, 154, 179);(60, 171, 103, 90, 100, 124, 203, 53);112;157;8;104;[(245, 15), (119, 14), (53, 13), (240, 12), (62, 11), (85, 10), (108, 9), (211, 8), (192, 7), (190, 6), (136, 5), (110, 4), (53, 3), (31, 2), (156, 1), (7, 0)];[(40, 15), (118, 14), (223, 13), (199, 12), (194, 11), (123, 10), (97, 9), (13, 8), (183, 7), (94, 6), (76, 5), (204, 4), (219, 3), (41, 2), (65, 1), (35, 0)];(86, 197, 112, 220, 133, 3, 244, 200);(166, 92, 43, 54, 105, 240, 67, 125);(246, 191, 236, 163, 157, 193, 233, 60);(246, 191, 236, 163, 157, 193, 233, 60)
HK17;65;64-bits KEM - HK17-O-64 - 8-bits version;16;(75, 245, 103, 122, 175, 40, 225, 135);(183, 35, 31, 117, 102, 65, 236, 98);118;162;233;125;[(242, 15), (118, 14), (115, 13), (245, 12), (32, 11), (173, 10), (159, 9), (172, 8), (29, 7), (207, 6), (92, 5), (155, 4), (56, 3), (128, 2), (187, 1), (36, 0)];[(29, 15), (109, 14), (118, 13), (174, 12), (158, 11), (108, 10), (77, 9), (193, 8), (80, 7), (14, 6), (55, 5), (93, 4), (232, 3), (59, 2), (222, 1), (155, 0)];(137, 114, 58, 69, 158, 161, 243, 112);(168, 192, 199, 205, 125, 115, 134, 148);(134, 106, 222, 38, 82, 185, 41, 223);(134, 106, 222, 38, 82, 185, 41, 223)
HK17;66;64-bits KEM - HK17-O-64 - 8-bits version;16;(33, 83, 152, 102, 69, 28, 139, 84);(89, 47, 14, 72, 99, 206, 80, 173);106;189;6;142;[(87, 15), (106, 14), (32, 13), (172, 12), (30, 11), (194, 10), (22, 9), (139, 8), (25, 7), (231, 6), (119, 5), (101, 4), (140, 3), (150, 2), (92, 1), (54, 0)];[(7, 15), (90, 14), (246, 13), (113, 12), (58, 11), (94, 10), (16, 9), (192, 8), (245, 7), (132, 6), (17, 5), (160, 4), (11, 3), (105, 2), (98, 1), (12, 0)];(144, 245, 138, 131, 59, 91, 127, 157);(196, 2, 11, 47, 233, 160, 160, 227);(116, 158, 192, 96, 11, 173, 126, 142);(116, 158, 192, 96, 11, 173, 126, 142)
HK17;67;64-bits KEM - HK17-O-64 - 8-bits version;16;(16, 89, 24, 245, 231, 164, 186, 130);(241, 60, 103, 74, 64, 27, 222, 224);248;85;52;136;[(164, 15), (12, 14), (225, 13), (116, 12), (133, 11), (217, 10), (125, 9), (231, 8), (239, 7), (110, 6), (245, 5), (212, 4), (229, 3), (119, 2), (1, 1), (81, 0)];[(50, 15), (59, 14), (105, 13), (173, 12), (114, 11), (145, 10), (210, 9), (189, 8), (71, 7), (210, 6), (144, 5), (106, 4), (230, 3), (207, 2), (90, 1), (241, 0)];(192, 22, 38, 71, 119, 152, 184, 99);(121, 110, 37, 22, 138, 56, 112, 120);(113, 130, 229, 96, 33, 220, 135, 230);(113, 130, 229, 96, 33, 220, 135, 230)
HK17;68;64-bits KEM - HK17-O-64 - 8-bits version;16;(193, 53, 81, 207, 78, 184, 166, 74);(38, 133, 133, 136, 243, 101, 68, 229);117;185;168;97;[(20, 15), (11, 14), (218, 13), (124, 12), (245, 11), (186, 10), (19, 9), (156, 8), (184, 7), (1, 6), (113, 5), (225, 4), (143, 3), (111, 2), (246, 1), (72, 0)];[(236, 15), (199, 14), (220, 13), (160, 12), (173, 11), (205, 10), (162, 9), (143, 8), (98, 7), (182, 6), (222, 5), (114, 4), (216, 3), (106, 2), (149, 1), (210, 0)];(117, 147, 120, 29, 39, 163, 34, 62);(185, 79, 143, 244, 82, 181, 44, 25);(142, 3, 149, 225, 132, 95, 25, 97);(142, 3, 149, 225, 132, 95, 25, 97)
HK17;69;64-bits KEM - HK17-O-64 - 8-bits version;16;(100, 9, 217, 37, 84, 130, 128, 35);(172, 203, 196, 207, 55, 213, 100, 78);7;89;186;117;[(126, 15), (39, 14), (123, 13), (97, 12), (71, 11), (233, 10), (139, 9), (66, 8), (230, 7), (164, 6), (69, 5), (232, 4), (225, 3), (153, 2), (250, 1), (208, 0)];[(250, 15), (4, 14), (9, 13), (215, 12), (78, 11), (95, 10), (211, 9), (43, 8), (9, 7), (100, 6), (234, 5), (24, 4), (151, 3), (53, 2), (181, 1), (226, 0)];(190, 195, 166, 112, 57, 100, 127, 108);(131, 188, 89, 4, 33, 86, 177, 171);(165, 201, 196, 16, 157, 238, 44, 131);(165, 201, 196, 16, 157, 238, 44, 131)
HK17;70;64-bits KEM - HK17-O-64 - 8-bits version;16;(96, 20, 176, 230, 141, 37, 111, 128);(171, 190, 67, 44, 169, 145, 47, 196);195;40;8;129;[(18, 15), (170, 14), (190, 13), (120, 12), (51, 11), (66, 10), (17, 9), (222, 8), (114, 7), (243, 6), (159, 5), (22, 4), (124, 3), (99, 2), (72, 1), (248, 0)];[(185, 15), (71, 14), (5, 13), (230, 12), (97, 11), (214, 10), (125, 9), (211, 8), (166, 7), (102, 6), (136, 5), (184, 4), (91, 3), (59, 2), (28, 1), (41, 0)];(160, 67, 150, 181, 12, 65, 175, 116);(53, 174, 70, 60, 22, 42, 96, 61);(20, 36, 246, 109, 45, 192, 1, 216);(20, 36, 246, 109, 45, 192, 1, 216)
HK17;71;64-bits KEM - HK17-O-64 - 8-bits version;16;(57, 91, 49, 220, 149, 145, 25, 132);(113, 117, 198, 21, 113, 91, 64, 199);56;247;107;210;[(108, 15), (31, 14), (36, 13), (86, 12), (39, 11), (30, 10), (65, 9), (106, 8), (172, 7), (17, 6), (250, 5), (214, 4), (128, 3), (9, 2), (123, 1), (221, 0)];[(229, 15), (53, 14), (237, 13), (175, 12), (119, 11), (172, 10), (43, 9), (36, 8), (250, 7), (179, 6), (39, 5), (152, 4), (209, 3), (175, 2), (117, 1), (236, 0)];(71, 190, 104, 113, 234, 180, 133, 105);(205, 138, 249, 71, 116, 163, 66, 248);(118, 123, 40, 175, 19, 159, 122, 213);(118, 123, 40, 175, 19, 159, 122, 213)
HK17;72;64-bits KEM - HK17-O-64 - 8-bits version;16;(93, 102, 214, 52, 214, 101, 53, 243);(121, 36, 128, 50, 146, 40, 77, 181);190;216;117;38;[(36, 15), (60, 14), (200, 13), (93, 12), (58, 11), (215, 10), (116, 9), (51, 8), (207, 7), (230, 6), (247, 5), (71, 4), (216, 3), (19, 2), (165, 1), (142, 0)];[(30, 15), (144, 14), (169, 13), (231, 12), (32, 11), (53, 10), (245, 9), (139, 8), (224, 7), (250, 6), (224, 5), (124, 4), (39, 3), (30, 2), (198, 1), (132, 0)];(250, 0, 86, 77, 13, 232, 176, 89);(90, 115, 151, 93, 169, 223, 4, 39);(64, 15, 133, 230, 167, 198, 219, 165);(64, 15, 133, 230, 167, 198, 219, 165)
